Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
S-311,Story,Tenant isolation guardrails for observability data,As a SaaS owner I prevent cross-tenant leakage in all quality and observability endpoints. AC: tenant-scoped filters enforced; cross-tenant access returns 404/401 and audited.,Highest,"security,multitenant,observability",8,,Unified Observability Grid,M8 Quality & Reliability,Sprint 10,Completed
S-312,Story,One-command full pytest execution script,As a developer I can run all tests with one command. AC: script executes full pytest suite with consistent options and writes machine-readable artifacts.,High,"pytest,automation,devex",3,,Test Automation and Governance,M9 Test Governance,Sprint 11,Completed
S-313,Story,JUnit and JSON artifact generation,As CI I can consume standardized test artifacts. AC: full suite produces junit.xml and summary.json in deterministic paths.,High,"pytest,ci,artifacts",3,,Test Automation and Governance,M9 Test Governance,Sprint 11,Completed
S-314,Story,Failure snippet extraction for dashboard,As QA I can read concise failure summaries without opening full logs. AC: extractor stores top failure traces with file and test id metadata.,Medium,"pytest,reporting,qa",5,,Test Automation and Governance,M9 Test Governance,Sprint 11,Completed
S-315,Story,Flaky test detection and quarantine workflow,As test owner I can identify unstable tests and quarantine safely. AC: repeated-failure detection flags flaky tests and emits actionable list.,Medium,"pytest,flaky,quality",5,,Test Automation and Governance,M9 Test Governance,Sprint 11,Completed
S-316,Story,Parallelized test execution profile,As engineering I can reduce total test runtime. AC: optional parallel profile with stable output and no ordering-related regressions.,Medium,"pytest,performance,automation",5,,Test Automation and Governance,M9 Test Governance,Sprint 11,Completed
S-317,Story,Security-focused test lane,"As security team I can run auth and tenant-isolation checks before release. AC: dedicated lane for auth, RBAC, tenant boundary, and secrets validation tests.",Highest,"security,qa,saas",8,,Test Automation and Governance,M9 Test Governance,Sprint 11,Completed
S-318,Story,Release readiness checklist panel,"As release manager I can verify mandatory release criteria in one place. AC: checklist includes tests, coverage, vulnerabilities, migrations, and rollback readiness.",High,"release,checklist,ops",5,,Release Readiness and Compliance,M9 Test Governance,Sprint 11,Completed
S-319,Story,Risk score computation for releases,"As leadership I can see a single release risk score. AC: score derived from failures, flaky count, latency regressions, and open critical alerts.",Medium,"release,risk,analytics",5,,Release Readiness and Compliance,M9 Test Governance,Sprint 11,Completed
S-320,Story,Evidence bundle export for audits,"As compliance owner I can export release evidence. AC: generate downloadable bundle with test reports, observability snapshots, and checklist status.",High,"compliance,audit,reporting",5,,Release Readiness and Compliance,M9 Test Governance,Sprint 11,Completed
S-321,Story,Role-based access for quality dashboard,As admin I can control who sees operational quality data. AC: RBAC roles for viewer/editor/admin enforced across all quality endpoints and panels.,High,"security,rbac,dashboard",5,,Release Readiness and Compliance,M9 Test Governance,Sprint 11,Completed
S-322,Story,Data retention and redaction policies,As platform owner I enforce retention and redaction for logs and test artifacts. AC: retention window configurable and sensitive tokens/PII redacted from UI and exports.,Highest,"security,privacy,compliance",8,,Release Readiness and Compliance,M9 Test Governance,Sprint 11,Completed
