Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
S-408,Story,Client 3 crawl and ingest - dataflo,"As tenant dataflo I can crawl https://www.dataflo.io and index content. AC: crawl completes and tenant docs visible in ingest listing.",High,"crawl,dataflo,rag",3,,Website Crawl to VectorDB Pipeline,M10 Tenant Bootstrapping,Sprint 12,Completed
S-409,Story,Client 4 crawl and ingest - adamsbridge,"As tenant adamsbridge I can crawl https://adamsbridge.com and index content. AC: crawl captures pages/sections and stores tenant-isolated vectors.",High,"crawl,adamsbridge,rag",3,,Website Crawl to VectorDB Pipeline,M10 Tenant Bootstrapping,Sprint 12,Completed
S-410,Story,Client 5 crawl and ingest - workez,"As tenant workez I can crawl https://workez.in and index content. AC: crawl results returned and documents persisted for the tenant.",High,"crawl,workez,rag",3,,Website Crawl to VectorDB Pipeline,M10 Tenant Bootstrapping,Sprint 12,Completed
S-411,Story,Synthetic profile document ingest per tenant,"As QA owner I can ingest deterministic synthetic profile docs to stabilize validation prompts. AC: each tenant has profile document with validation markers.",Medium,"synthetic,ingest,qa",3,,Website Crawl to VectorDB Pipeline,M10 Tenant Bootstrapping,Sprint 12,Completed
S-412,Story,Tenant-isolated retrieval validation endpoint usage,"As QA owner I can use tenant-scoped audit endpoint for answer checks. AC: every question run uses matching tenant bot and collection.",High,"security,tenant-isolation,qa",5,,Synthetic Persona and Bot Simulation,M10 Tenant Bootstrapping,Sprint 12,Completed
S-413,Story,Generate 50+ simulated Q&A prompts,"As QA team I can simulate broad question coverage across tenants. AC: at least 50 prompts executed end-to-end and recorded.",Highest,"simulation,qna,coverage",5,,Synthetic Persona and Bot Simulation,M10 Tenant Bootstrapping,Sprint 12,Completed
S-414,Story,Answer-quality heuristic gate,"As QA lead I can classify answer quality without brittle keyword-only matching. AC: gate uses non-empty answer and no fallback phrase for pass criteria.",High,"quality,validation,rag",5,,Synthetic Persona and Bot Simulation,M10 Tenant Bootstrapping,Sprint 12,Completed
S-415,Story,Per-tenant Q&A result export CSV,"As product manager I can review detailed Q&A outcomes. AC: export includes tenant, bot, question, answer, latency, and pass flag.",High,"reporting,csv,qa",3,,Synthetic Persona and Bot Simulation,M10 Tenant Bootstrapping,Sprint 12,Completed
S-416,Story,Execution summary JSON report,"As release owner I can view run summary in machine-readable report. AC: report includes reset metadata, tenant stats, crawl outcomes, and Q&A totals.",High,"reporting,json,release",3,,Audit Reporting and Jira Operationalization,M10 Tenant Bootstrapping,Sprint 12,Completed
S-417,Story,Seed automation script for repeatable runs,"As platform engineer I can rerun complete bootstrap process with one command. AC: script resets, seeds, crawls, simulates, and exports reports.",Highest,"automation,script,devex",8,,Audit Reporting and Jira Operationalization,M10 Tenant Bootstrapping,Sprint 12,Completed
S-418,Story,Store reports under docs/reports for governance,"As compliance owner I can retain seed evidence artifacts. AC: report files committed under docs/reports and referenced in release notes.",Medium,"docs,compliance,evidence",2,,Audit Reporting and Jira Operationalization,M10 Tenant Bootstrapping,Sprint 12,Completed
S-419,Story,Create Jira import pack for execution traceability,"As PM I can import detailed execution stories into Jira. AC: CSV uses Jira-import schema and all stories linked to epics.",Medium,"jira,planning,traceability",2,,Audit Reporting and Jira Operationalization,M10 Tenant Bootstrapping,Sprint 12,Completed
