Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
S-112,Story,Automated regression for chat and ingest critical paths,As engineering team we prevent regressions. AC: test coverage for upload/crawl/chat fallback and tenant isolation.,High,"qa,tests,backend",5,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 2,Completed
S-113,Story,Lead form builder persistence and retrieval,As admin I can configure lead capture form per bot. AC: create/update form API works and dashboard persists fields reliably.,High,"leads,forms,dashboard",5,,Live Chat & Leads,M2 Revenue & Ops,Sprint 3,Completed
S-114,Story,Lead capture from chat widget,"As business user I capture leads from live bot chats. AC: lead saved with bot, conversation, source, and timestamp.",High,"leads,widget,backend",3,,Live Chat & Leads,M2 Revenue & Ops,Sprint 3,Completed
S-115,Story,SMTP email notification reliability for new leads,As operations user I receive lead notifications reliably. AC: tenant email settings saved; send failures logged with retry-safe behavior.,Medium,"email,leads,ops",5,,Live Chat & Leads,M2 Revenue & Ops,Sprint 3,Completed
S-116,Story,Live chat inbox filters and message continuity,As agent I manage conversations in one inbox. AC: filter by status/search; message thread reload is consistent and ordered.,High,"livechat,dashboard,frontend",5,,Live Chat & Leads,M2 Revenue & Ops,Sprint 3,Completed
S-117,Story,Agent reply workflow and conversation status transitions,As support agent I can send manual replies with status updates. AC: agent messages stored; open and pending transitions reflected in UI.,High,"livechat,backend,frontend",3,,Live Chat & Leads,M2 Revenue & Ops,Sprint 3,Completed
S-118,Story,Safe bot-level conversation cleanup,As admin I can clear one bot inbox without affecting others. AC: delete endpoint only removes targeted bot conversations and messages.,Medium,"livechat,maintenance",2,,Live Chat & Leads,M2 Revenue & Ops,Sprint 3,Completed
S-119,Story,Stripe checkout production readiness,As customer I can upgrade plan through Stripe checkout. AC: price mapping validated; clear user error on missing config.,High,"billing,stripe,backend",5,,Billing & Analytics,M2 Revenue & Ops,Sprint 4,Completed
S-120,Story,Stripe webhook signature validation and idempotency,As platform owner I safely process subscription events. AC: signature verified and duplicate webhook handling does not double-update tenant.,High,"billing,stripe,security",5,,Billing & Analytics,M2 Revenue & Ops,Sprint 4,Completed
S-121,Story,Plan quota enforcement for messages and documents,As tenant I cannot exceed plan limits silently. AC: enforce limits on chat and ingest with clear API errors and UI messaging.,High,"billing,quota,backend",8,,Billing & Analytics,M2 Revenue & Ops,Sprint 4,Completed
S-122,Story,Settings page usage and upgrade UX refinement,As admin I can monitor limits and initiate upgrade. AC: usage bars accurate and upgrade CTA handles success and failure paths.,Medium,"settings,billing,frontend",3,,Billing & Analytics,M2 Revenue & Ops,Sprint 4,Completed
S-123,Story,Analytics metric accuracy validation,As manager I trust summary and trend metrics. AC: analytics endpoints validated against fixture data and edge cases.,Medium,"analytics,backend,qa",5,,Billing & Analytics,M2 Revenue & Ops,Sprint 4,Completed
S-124,Story,Observability dashboards and alerts baseline,"As ops I can monitor platform health quickly. AC: Grafana dashboard shows request errors, latency, and key business counters.",Medium,"observability,monitoring,devops",5,,Billing & Analytics,M2 Revenue & Ops,Sprint 4,Completed
S-125,Story,Convert AI Training suggestions from mock to real pipeline,As admin I get FAQ suggestions from real conversations. AC: suggestion service mines recent chats and proposes Q/A pairs.,High,"ai,training,backend",8,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-126,Story,Persist and execute agent transfer rules,"As support lead I define transfer policies. AC: rules stored server-side and evaluated for keyword, time, and manual trigger paths.",High,"agent-transfer,backend",8,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-127,Story,Integrate transfer rules with live chat workflow,As agent I receive routed conversations with context. AC: transfer event marks conversation state and optional notify action executes.,High,"livechat,agent-transfer",5,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-128,Story,Enable action tool governance and auditing,"As admin I control which tools the bot can execute. AC: allowlist enforced, tool calls logged, failures gracefully handled.",High,"agent,tools,security",5,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-129,Story,Flow runtime integration with chat path,As admin my saved flow influences live responses. AC: flow data is evaluated in runtime for active bot flow nodes.,High,"flows,runtime,backend",13,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-130,Story,Back-end persistence for integrations module,As admin I can save integration credentials and status. AC: API exists for integration configs and dashboard reads or writes actual data.,Medium,"integrations,backend,frontend",8,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-131,Story,Knowledge-grounded AI report using real resolution metrics,As manager I see real AI deflection and transfer stats. AC: remove mock fields and compute from conversation lifecycle data.,Medium,"analytics,ai,backend",5,,Intelligence Expansion,M3 Intelligence Expansion,Sprint 5,Completed
S-132,Story,Mobile app JWT login and secure token storage,As mobile user I sign in with real backend authentication. AC: mobile login uses auth API and stores token securely.,High,"mobile,auth",8,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
S-133,Story,Mobile chat parity with web chat essentials,"As mobile user I get consistent chat behavior. AC: conversation continuity, source display, and fallback errors match web behavior.",Medium,"mobile,chat,ux",5,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
S-134,Story,Mobile knowledge center parity,"As mobile admin I can ingest, crawl, and delete knowledge robustly. AC: endpoints integrated with clear error handling and refresh states.",Medium,"mobile,ingest",5,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
S-135,Story,Shopify integration MVP for order lookup,As ecommerce user my bot can check order status. AC: integration auth/config and one production action endpoint implemented.,Medium,"shopify,integrations",13,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
S-136,Story,Slack notifications MVP for leads and transfer events,As support team I receive Slack alerts on key events. AC: webhook integration posts formatted events with retry and logging.,Medium,"slack,integrations,ops",5,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
S-137,Story,Release readiness checklist and UAT signoff,"As release manager I can deploy with confidence. AC: UAT checklist complete, rollback steps documented, critical tests green.",High,"release,qa,ops",5,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
S-138,Story,Performance and scale baseline tests,As platform owner I know throughput and latency limits. AC: load test report for chat and ingest with tuning recommendations.,Medium,"performance,scalability,backend",8,,Mobile & Integrations,M4 Mobile & Scale,Sprint 6,Completed
